Cost (Dollars),Quantity (g),Product Key,Date Key,Location Key
7.05,500.0,1,64,235
7.53,500.0,1,64,236
7.3,500.0,1,64,237
7.07,500.0,1,64,238
6.75,500.0,1,64,239
7.22,500.0,1,64,240
7.4,500.0,1,64,241
7.3,500.0,1,65,231
6.74,500.0,1,65,232
6.82,500.0,1,65,233
6.7,500.0,1,65,234
6.78,500.0,1,65,235
8.33,500.0,1,65,236
7.19,500.0,1,65,237
7.01,500.0,1,65,238
6.8,500.0,1,65,239
7.39,500.0,1,65,240
7.59,500.0,1,65,241
7.01,500.0,1,66,231
6.54,500.0,1,66,232
6.86,500.0,1,66,233
6.76,500.0,1,66,234
6.95,500.0,1,66,235
7.06,500.0,1,66,236
6.97,500.0,1,66,237
6.91,500.0,1,66,238
6.63,500.0,1,66,239
7.23,500.0,1,66,240
7.26,500.0,1,66,241
7.24,500.0,1,67,242
6.81,500.0,1,67,243
7.28,500.0,1,67,244
7.08,500.0,1,67,245
7.03,500.0,1,67,246
7.14,500.0,1,67,247
7.35,500.0,1,67,248
7.14,500.0,1,67,249
6.86,500.0,1,67,250
7.16,500.0,1,67,251
7.49,500.0,1,67,252
7.34,500.0,1,68,242
6.86,500.0,1,68,243
7.55,500.0,1,68,244
7.35,500.0,1,68,245
7.49,500.0,1,68,246
7.4,500.0,1,68,247
7.34,500.0,1,68,248
7.12,500.0,1,68,249
6.9,500.0,1,68,250
7.31,500.0,1,68,251
7.53,500.0,1,68,252
7.33,500.0,1,69,242
7.19,500.0,1,69,243
7.42,500.0,1,69,244
7.4,500.0,1,69,245
7.61,500.0,1,69,246
8.09,500.0,1,69,247
7.15,500.0,1,69,248
7.05,500.0,1,69,249
6.85,500.0,1,69,250
7.19,500.0,1,69,251
7.45,500.0,1,69,252
7.17,500.0,1,70,253
6.94,500.0,1,70,254
7.19,500.0,1,70,255
7.64,500.0,1,70,256
7.78,500.0,1,70,257
6.52,500.0,1,70,258
7.47,500.0,1,70,259
6.9,500.0,1,70,260
6.72,500.0,1,70,261
7.08,500.0,1,70,262
7.38,500.0,1,70,263
7.0,500.0,1,71,253
6.76,500.0,1,71,254
6.73,500.0,1,71,255
7.04,500.0,1,71,256
7.16,500.0,1,71,257
6.28,500.0,1,71,258
7.18,500.0,1,71,259
7.0,500.0,1,71,260
6.96,500.0,1,71,261
7.33,500.0,1,71,262
7.4,500.0,1,71,263
7.5,500.0,1,72,253
7.13,500.0,1,72,254
7.19,500.0,1,72,255
7.24,500.0,1,72,256
7.27,500.0,1,72,257
7.26,500.0,1,72,258
7.66,500.0,1,72,259
7.25,500.0,1,72,260
7.18,500.0,1,72,261
7.55,500.0,1,72,262
7.86,500.0,1,72,263
7.04,500.0,1,73,264
6.68,500.0,1,73,265
7.09,500.0,1,73,266
6.9,500.0,1,73,267
7.19,500.0,1,73,268
7.45,500.0,1,73,269
6.87,500.0,1,73,270
6.73,500.0,1,73,271
6.53,500.0,1,73,272
7.25,500.0,1,73,273
7.27,500.0,1,73,274
6.75,500.0,1,74,264
6.64,500.0,1,74,265
7.09,500.0,1,74,266
7.26,500.0,1,74,267
7.3,500.0,1,74,268
6.59,500.0,1,74,269
6.54,500.0,1,74,270
6.81,500.0,1,74,271
6.68,500.0,1,74,272
7.0,500.0,1,74,273
7.14,500.0,1,74,274
6.79,500.0,1,75,264
6.0,500.0,1,75,265
6.44,500.0,1,75,266
6.52,500.0,1,75,267
6.68,500.0,1,75,268
6.75,500.0,1,75,269
6.82,500.0,1,75,270
6.74,500.0,1,75,271
6.67,500.0,1,75,272
6.89,500.0,1,75,273
7.23,500.0,1,75,274
6.59,500.0,1,76,275
6.69,500.0,1,76,276
7.0,500.0,1,76,277
7.06,500.0,1,76,278
6.94,500.0,1,76,279
6.09,500.0,1,76,280
6.79,500.0,1,76,281
6.27,500.0,1,76,282
6.24,500.0,1,76,283
6.56,500.0,1,76,284
6.77,500.0,1,76,285
6.33,500.0,1,77,275
6.57,500.0,1,77,276
6.89,500.0,1,77,277
6.73,500.0,1,77,278
6.88,500.0,1,77,279
6.42,500.0,1,77,280
6.1,500.0,1,77,281
6.22,500.0,1,77,282
6.11,500.0,1,77,283
6.51,500.0,1,77,284
6.59,500.0,1,77,285
6.46,500.0,1,78,275
6.71,500.0,1,78,276
6.97,500.0,1,78,277
6.94,500.0,1,78,278
6.9,500.0,1,78,279
7.14,500.0,1,78,280
6.2,500.0,1,78,281
6.23,500.0,1,78,282
6.01,500.0,1,78,283
6.39,500.0,1,78,284
6.46,500.0,1,78,285
6.62,500.0,1,79,286
6.69,500.0,1,79,287
6.91,500.0,1,79,288
6.83,500.0,1,79,289
6.98,500.0,1,79,290
7.03,500.0,1,79,291
6.3,500.0,1,79,292
6.54,500.0,1,79,293
6.28,500.0,1,79,294
6.73,500.0,1,79,295
6.98,500.0,1,79,296
6.67,500.0,1,80,286
6.82,500.0,1,80,287
7.06,500.0,1,80,288
7.01,500.0,1,80,289
7.12,500.0,1,80,290
6.92,500.0,1,80,291
6.44,500.0,1,80,292
6.5,500.0,1,80,293
6.4,500.0,1,80,294
6.71,500.0,1,80,295
6.92,500.0,1,80,296
7.33,500.0,1,81,286
6.84,500.0,1,81,287
6.95,500.0,1,81,288
6.82,500.0,1,81,289
7.11,500.0,1,81,290
8.08,500.0,1,81,291
7.3,500.0,1,81,292
6.87,500.0,1,81,293
6.65,500.0,1,81,294
7.19,500.0,1,81,295
7.48,500.0,1,81,296
6.9,500.0,1,82,297
6.6,500.0,1,82,298
6.5,500.0,1,82,299
6.89,500.0,1,82,300
6.94,500.0,1,82,301
6.18,500.0,1,82,302
7.43,500.0,1,82,303
6.7,500.0,1,82,304
6.44,500.0,1,82,305
7.02,500.0,1,82,306
7.43,500.0,1,82,307
6.67,500.0,1,83,297
6.37,500.0,1,83,298
6.74,500.0,1,83,299
6.88,500.0,1,83,300
